127.0.0.1 - - [21/Jun/2015:03:04:29 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/listarUsuarios HTTP/1.1" 200 7243
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/css/app.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/fonts/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/css/simple-line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/ui-load.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/fonts/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/ui-jp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/ui-jp.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/ui-nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/ui-toggle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/img/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/bower_components/footable/dist/footable.all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/bower_components/footable/css/footable.core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:38 -0300] "GET /callsystem/resources/bower_components/footable/css/fonts/footable.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:39 -0300] "GET /callsystem/resources/img/icon.png HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:41 -0300] "GET /callsystem HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:42 -0300] "GET /callsystem/ HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:42 -0300] "GET /callsystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/ HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/fonts/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/css/simple-line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/fonts/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/css/app.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/ui-load.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/ui-jp.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/ui-jp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/ui-nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/js/ui-toggle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:43 -0300] "GET /callsystem/resources/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:44 -0300] "POST /callsystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2015:03:04:44 -0300] "GET /callsystem/listarUsuarios HTTP/1.1" 200 7243
